1a9n.cif,48,44.798,0.254,0.2
1b23.cif,74,23.381,0.194,0.165
1b7f.cif,24,27.113,0.455,0.595
1bmv.cif,11,14.338,0.635,1.007
1br3.cif,13,13.599,0.399,0.503
1c9s.cif,55,39.979,0.177,-0.143
1csl.cif,13,12.54,0.034,0.012
1cvj.cif,63,30.067,0.056,-0.026
1d4r.cif,29,24.705,0.627,0.993
1duq.cif,48,28.135,0.121,-0.044
1ec6.cif,40,27.257,0.253,0.134
1egk.cif,40,20.459,0.036,-0.013
1et4.cif,180,37.861,0.005,0.0
1f1t.cif,38,15.663,0.126,0.088
1f27.cif,19,11.64,0.17,0.137
1f7u.cif,75,22.665,0.208,0.167
1f8v.cif,25,21.431,0.265,0.242
1feu.cif,38,19.082,0.063,0.014
1fuf.cif,28,12.035,0.115,0.078
1hmh.cif,102,23.949,0.011,-0.002
1hys.cif,23,21.106,0.52,0.746
1i6u.cif,74,24.769,0.011,0.002
1i9x.cif,26,12.56,0.069,0.036
1il2.cif,145,44.963,0.538,0.778
1j1u.cif,74,22.0,0.189,0.144
1j2b.cif,148,41.097,0.056,-0.024
1jbr.cif,18,15.716,0.08,-0.016
1kd5.cif,22,13.091,0.051,-0.023
1kfo.cif,19,17.207,0.458,0.617
1kog.cif,296,66.941,0.178,0.148
1kuq.cif,57,21.027,0.02,-0.002
1kxk.cif,70,26.965,0.384,0.419
1l2x.cif,28,12.572,0.009,0.002
1l9a.cif,126,31.618,0.595,0.893
1lnt.cif,12,12.112,0.08,0.029
1m5k.cif,42,63.224,0.235,-0.226
1mhk.cif,12,11.699,0.208,0.188
1mji.cif,68,19.88,0.184,0.141
1mzp.cif,55,16.792,0.001,-0.0
1n32.cif,1513,64.747,0.061,0.027
1nta.cif,22,13.672,0.046,-0.008
1nuv.cif,52,21.028,0.03,-0.01
1ooa.cif,58,26.303,0.222,0.187
1p6v.cif,69,25.382,0.198,0.115
1q2r.cif,38,16.785,0.01,-0.002
1q96.cif,81,25.211,0.462,0.624
1qbp.cif,90,34.737,0.165,0.132
1qc0.cif,9,10.469,0.035,-0.006
1qcu.cif,22,11.729,0.102,0.064
1qtq.cif,74,22.83,0.148,0.001
1qvf.cif,2754,64.278,0.017,-0.003
1r3e.cif,17,10.709,0.069,0.019
1r9f.cif,20,17.048,0.345,0.402
1rna.cif,28,13.265,0.021,-0.0
1rpu.cif,42,19.064,0.5,0.699
1s03.cif,94,38.163,0.341,0.275
1sdr.cif,24,16.012,0.116,0.036
1sds.cif,45,33.856,0.205,0.155
1ser.cif,65,17.772,0.005,0.0
1t0e.cif,18,15.032,0.22,0.188
1t0k.cif,12,13.226,0.067,-0.027
1tfw.cif,12,12.202,0.26,0.242
1tfy.cif,26,44.585,0.048,0.004
1u1y.cif,31,21.674,0.085,-0.018
1u63.cif,98,24.424,0.042,-0.014
1u6b.cif,197,31.138,0.043,-0.01
1u9s.cif,155,29.383,0.151,0.088
1wz2.cif,176,66.536,0.323,0.303
1xjr.cif,47,17.974,0.142,-0.042
1xnq.cif,1507,64.677,0.066,0.03
1xnr.cif,1507,64.715,0.065,0.03
1xok.cif,27,14.885,0.048,0.021
1y27.cif,69,19.494,0.313,0.312
1yfg.cif,75,23.176,0.048,0.015
1yls.cif,24,24.133,0.515,0.734
1yyw.cif,96,32.646,0.221,0.199
1yz9.cif,44,19.68,0.567,0.854
1yzd.cif,48,24.417,0.27,0.137
1z7f.cif,48,24.534,0.268,0.13
1zbh.cif,32,29.881,0.37,0.234
1zbi.cif,12,13.533,0.211,0.18
1zci.cif,92,24.215,0.106,0.05
1zl3.cif,22,12.096,0.031,0.003
1zx7.cif,60,26.86,0.325,0.371
1zz5.cif,30,24.051,0.372,0.453
205d.cif,24,12.447,0.092,0.046
255d.cif,12,13.121,0.063,0.016
280d.cif,48,24.269,0.038,0.013
283d.cif,12,12.547,0.284,0.296
2a43.cif,26,11.913,0.041,0.004
2ann.cif,23,13.04,0.303,0.302
2asb.cif,11,13.265,0.227,0.055
2atw.cif,24,26.167,0.496,0.683
2az0.cif,36,16.574,0.378,0.462
2azx.cif,144,66.862,0.122,0.036
2b3j.cif,50,28.037,0.263,0.176
2csx.cif,150,44.051,0.261,0.237
2d6f.cif,146,60.212,0.396,0.493
2der.cif,145,36.355,0.113,0.066
2dlc.cif,74,22.308,0.03,0.007
2ez6.cif,56,24.321,0.235,0.114
2f8k.cif,16,9.717,0.065,0.033
2f8t.cif,50,21.711,0.089,-0.042
2g92.cif,22,12.052,0.068,0.035
2gic.cif,45,37.213,0.476,0.457
2gje.cif,13,17.883,0.071,0.012
2gjw.cif,37,55.022,0.201,-0.18
2gtt.cif,99,51.923,0.242,-0.238
2h1m.cif,32,14.848,0.34,0.396
2hvy.cif,61,26.039,0.559,0.835
2hw8.cif,36,14.75,0.13,0.04
2i82.cif,82,38.469,0.64,1.023
2i91.cif,16,31.712,0.572,0.865
2il9.cif,267,45.391,0.547,0.797
2jlt.cif,18,10.856,0.067,0.024
2nue.cif,46,20.562,0.153,-0.106
2nug.cif,22,15.585,0.356,0.425
2o3x.cif,42,18.241,0.117,0.015
2oe8.cif,16,14.79,0.452,0.604
2oeu.cif,43,17.787,0.143,0.101
2oiu.cif,142,31.466,0.108,0.037
2ozb.cif,66,43.833,0.69,1.144
2pjp.cif,23,12.155,0.082,0.04
2pn3.cif,24,18.169,0.09,-0.022
2py9.cif,24,30.744,0.685,1.108
2q1o.cif,44,19.73,0.029,-0.007
2qus.cif,138,26.323,0.228,0.146
2qux.cif,153,50.698,0.061,0.001
2qwy.cif,159,36.738,0.423,0.436
2r1s.cif,26,13.655,0.016,-0.001
2r8s.cif,159,30.039,0.173,-0.062
2rfk.cif,21,20.595,0.235,0.2
2uxc.cif,1513,64.866,0.062,0.028
2ygh.cif,96,20.81,0.101,-0.003
2z75.cif,22,18.686,0.209,0.103
2zy6.cif,38,16.896,0.262,0.268
353d.cif,12,11.791,0.04,0.016
354d.cif,12,12.856,0.053,-0.023
359d.cif,16,13.589,0.173,0.084
361d.cif,40,16.93,0.361,0.426
364d.cif,11,11.447,0.168,0.12
387d.cif,26,18.003,0.044,0.017
397d.cif,15,13.027,0.233,0.13
3bnn.cif,84,22.343,0.03,-0.01
3boy.cif,22,20.07,0.119,-0.063
3bsx.cif,19,34.783,0.603,0.882
3cgs.cif,12,11.855,0.182,0.098
3ciy.cif,46,38.218,0.36,0.202
3cjz.cif,26,13.293,0.183,0.151
3cul.cif,92,23.79,0.05,0.007
3czw.cif,15,13.928,0.175,0.136
3d0m.cif,16,14.278,0.271,0.281
3d2v.cif,154,24.697,0.108,0.071
3dil.cif,175,30.167,0.122,-0.048
3e5c.cif,54,18.35,0.127,0.042
3f2x.cif,109,22.462,0.106,-0.009
3fs0.cif,10,11.017,0.093,0.038
3ftm.cif,22,17.278,0.127,0.081
3gm7.cif,36,15.934,0.409,0.523
3gs5.cif,26,12.829,0.056,-0.003
3ibk.cif,24,11.493,0.054,0.012
3igi.cif,389,36.613,0.004,-0.0
3iwn.cif,188,41.579,0.026,0.006
3j6b.cif,2713,68.495,0.002,0.0
3j79.cif,3191,70.161,0.036,-0.005
3j7a.cif,1608,66.379,0.044,-0.018
3jbv.cif,1530,67.003,0.119,0.077
3jcs.cif,1554,63.052,0.069,0.033
3k1v.cif,30,12.32,0.142,0.089
3ks8.cif,18,15.712,0.299,0.324
3loa.cif,21,18.39,0.569,0.858
3mei.cif,46,18.698,0.165,-0.024
3mij.cif,12,10.407,0.074,-0.038
3mja.cif,29,14.153,0.017,-0.002
3moj.cif,69,23.445,0.014,0.002
3nd3.cif,16,14.587,0.317,0.355
3nkb.cif,8,10.087,0.201,0.045
3npq.cif,153,25.83,0.014,0.001
3oxe.cif,88,25.75,0.349,0.387
3p59.cif,62,24.473,0.156,-0.123
3pdr.cif,322,34.448,0.259,0.084
3q3z.cif,152,31.327,0.325,0.353
3qjj.cif,24,30.535,0.041,-0.014
3r4f.cif,66,23.429,0.098,0.048
3sj2.cif,19,17.28,0.176,0.075
3ski.cif,69,18.979,0.294,0.304
3ssf.cif,12,11.484,0.0,-0.0
3sux.cif,101,26.21,0.235,0.121
3szx.cif,38,16.954,0.425,0.552
3td0.cif,44,17.971,0.431,0.564
3tzr.cif,20,15.123,0.214,0.185
3wfs.cif,148,38.491,0.341,0.311
406d.cif,544,28.261,0.764,1.336
413d.cif,13,14.192,0.064,-0.031
422d.cif,24,13.368,0.094,0.058
433d.cif,28,13.74,0.223,0.209
4b3r.cif,1512,64.985,0.063,0.029
4bw0.cif,26,13.993,0.046,-0.004
4cs1.cif,19,14.074,0.049,0.012
4e48.cif,60,31.136,0.776,1.366
4e5c.cif,38,17.524,0.43,0.564
4enc.cif,52,18.144,0.104,0.061
4frn.cif,206,31.695,0.192,0.157
4ghl.cif,36,16.951,0.465,0.635
4gxy.cif,163,27.496,0.073,0.002
4ioa.cif,2686,63.688,0.011,-0.002
4j50.cif,38,15.379,0.312,0.347
4jf2.cif,77,21.56,0.181,0.153
4jng.cif,42,24.814,0.074,-0.036
4jrc.cif,114,28.904,0.152,0.065
4k0k.cif,1511,64.887,0.062,0.028
4k27.cif,55,22.932,0.393,0.49
4knq.cif,20,17.831,0.312,0.347
4kyy.cif,34,15.707,0.391,0.489
4lmz.cif,5,8.074,0.113,0.07
4lvw.cif,90,22.846,0.233,0.156
4mcf.cif,37,31.546,0.768,1.346
4mgn.cif,172,45.211,0.183,-0.154
4nfq.cif,48,18.189,0.044,0.018
4oji.cif,52,16.585,0.197,0.173
4oqu.cif,98,22.226,0.002,0.0
4p95.cif,189,28.262,0.026,-0.007
4pcj.cif,35,16.78,0.272,0.284
4phy.cif,26,19.516,0.197,0.103
4pkd.cif,55,22.591,0.276,0.281
4pmi.cif,40,18.435,0.121,0.079
4pqv.cif,68,20.412,0.031,0.008
4pr6.cif,72,21.895,0.335,0.377
4prf.cif,74,21.839,0.22,0.206
4qlm.cif,109,23.48,0.046,-0.01
4qqb.cif,34,25.958,0.428,0.476
4r4v.cif,186,36.231,0.225,0.173
4rbq.cif,32,26.883,0.756,1.314
4rge.cif,167,26.212,0.016,-0.004
4rum.cif,94,22.649,0.008,0.001
4rzd.cif,99,27.996,0.073,-0.024
4tue.cif,3000,95.196,0.071,0.014
4v50.cif,3060,99.728,0.034,0.012
4v5k.cif,3016,95.979,0.073,0.016
4v83.cif,3012,96.281,0.075,0.018
4v9i.cif,3008,96.207,0.076,0.02
4wfl.cif,108,23.593,0.184,0.033
4wrt.cif,15,14.802,0.13,-0.004
4wsm.cif,3020,95.73,0.075,0.019
4x62.cif,1512,64.963,0.06,0.027
4xwf.cif,65,25.626,0.052,0.022
4y1m.cif,185,34.663,0.054,0.022
4y4o.cif,5739,108.634,0.083,-0.047
4yaz.cif,168,27.582,0.012,0.003
4zc7.cif,82,21.432,0.039,-0.015
4znp.cif,141,30.708,0.106,0.024
5ay2.cif,48,18.059,0.059,-0.007
5bjo.cif,72,18.724,0.019,-0.002
5btp.cif,126,23.704,0.074,0.036
5c45.cif,54,22.128,0.235,0.228
5c5w.cif,19,16.98,0.407,0.52
5cki.cif,15,16.7,0.341,0.392
5cnr.cif,32,31.763,0.077,0.032
5d8h.cif,74,19.743,0.124,-0.002
5ddo.cif,116,31.319,0.205,0.18
5de8.cif,70,24.945,0.436,0.547
5dh6.cif,48,19.329,0.071,0.035
5dhc.cif,60,36.515,0.112,-0.072
5dv7.cif,18,16.639,0.416,0.533
5ew4.cif,41,16.942,0.461,0.626
5g4t.cif,11,10.594,0.072,-0.009
5g4u.cif,114,29.179,0.111,-0.074
5hby.cif,14,14.113,0.063,-0.03
5j7l.cif,3069,96.083,0.098,0.056
5jup.cif,1781,70.659,0.051,-0.012
5k7d.cif,47,15.803,0.003,0.0
5kpy.cif,71,20.125,0.27,0.255
5kvj.cif,16,14.502,0.311,0.341
5l00.cif,62,27.621,0.547,0.763
5lys.cif,114,24.093,0.206,0.025
5m73.cif,292,44.227,0.287,0.174
5ml7.cif,190,26.878,0.023,0.003
5mrc.cif,2709,68.456,0.003,0.0
5msf.cif,34,21.808,0.085,-0.02
5mwi.cif,26,20.936,0.633,1.004
5ndi.cif,84,24.854,0.02,-0.003
5nwq.cif,84,21.33,0.184,0.016
5nxt.cif,18,16.118,0.405,0.506
5o5j.cif,1511,65.021,0.025,-0.007
5o7h.cif,43,38.377,0.063,0.017
5ob3.cif,70,23.855,0.354,0.359
5t3k.cif,34,19.158,0.065,0.031
5t5a.cif,62,18.392,0.245,0.232
5t5h.cif,1278,56.51,0.04,-0.005
5t83.cif,91,23.335,0.333,0.29
5tbw.cif,6300,116.127,0.11,-0.051
5tpy.cif,71,22.064,0.003,-0.0
5u3g.cif,86,23.406,0.135,0.073
5ued.cif,28,13.508,0.188,0.164
5une.cif,94,35.767,0.206,-0.174
5uz6.cif,75,28.651,0.247,0.211
5v3f.cif,52,14.781,0.033,0.01
5vci.cif,22,16.857,0.243,0.143
5vj9.cif,68,19.115,0.023,0.005
5vpo.cif,8,67.718,0.083,-0.043
5wnp.cif,1512,64.779,0.061,0.027
5wnt.cif,1512,64.707,0.06,0.026
5xwg.cif,15,14.636,0.431,0.56
5xy3.cif,2544,64.686,0.031,-0.008
5z1i.cif,21,18.656,0.414,0.52
5zeb.cif,1506,64.996,0.042,-0.017
6agb.cif,369,48.575,0.199,0.173
6ah3.cif,369,48.573,0.161,0.124
6c63.cif,72,19.545,0.083,-0.045
6cap.cif,1512,64.894,0.061,0.027
6cb3.cif,200,36.39,0.097,-0.005
6ck5.cif,208,36.501,0.541,0.793
6cu1.cif,80,24.499,0.401,0.478
6d3p.cif,45,17.843,0.026,0.008
6db9.cif,60,18.607,0.038,0.009
6dlr.cif,107,25.175,0.175,0.145
6dme.cif,103,25.298,0.148,-0.114
6dn2.cif,53,21.994,0.239,0.233
6dvk.cif,95,24.517,0.174,0.027
6e1s.cif,31,13.212,0.08,-0.03
6e7l.cif,22,19.754,0.141,-0.083
6e8s.cif,76,21.721,0.105,-0.067
6eri.cif,2696,64.725,0.014,0.001
6fz0.cif,49,18.039,0.23,0.204
6gsk.cif,2990,95.515,0.074,0.019
6gsl.cif,3021,96.017,0.075,0.018
6h0r.cif,62,25.372,0.014,-0.0
6ha8.cif,2887,66.345,0.01,0.002
6hc5.cif,18,10.881,0.068,0.035
6hct.cif,38,14.974,0.087,0.026
6htu.cif,19,17.242,0.46,0.621
6hu6.cif,19,16.444,0.422,0.547
6ia2.cif,38,16.958,0.441,0.584
6jji.cif,14,9.71,0.019,-0.005
6jq5.cif,163,32.773,0.474,0.647
6jxm.cif,97,30.782,0.524,0.73
6kyv.cif,132,53.783,0.0,-0.0
6lax.cif,112,33.463,0.121,0.084
6m62.cif,2972,73.687,0.047,-0.001
6mcb.cif,116,40.114,0.206,0.179
6mj0.cif,202,27.673,0.049,0.02
6mkn.cif,1507,65.14,0.068,0.032
6mpf.cif,1508,65.088,0.062,0.028
6msf.cif,14,10.137,0.027,-0.008
6mwn.cif,184,40.152,0.436,0.488
6n2v.cif,198,28.142,0.051,0.022
6n5p.cif,128,24.262,0.02,-0.001
6nta.cif,3000,95.767,0.073,0.019
6ol3.cif,111,30.523,0.324,0.274
6ole.cif,1711,69.922,0.197,0.085
6ord.cif,3004,94.867,0.074,0.017
6p2h.cif,70,19.255,0.094,-0.037
6p5i.cif,1697,69.653,0.043,-0.01
6pmo.cif,70,21.123,0.158,0.048
6qn3.cif,100,25.892,0.401,0.5
6qx9.cif,164,39.016,0.081,-0.045
6r47.cif,50,18.084,0.034,-0.006
6s0x.cif,2905,67.32,0.011,0.002
6skg.cif,1461,66.521,0.071,0.034
6svs.cif,156,31.637,0.026,-0.008
6t4q.cif,1771,70.291,0.046,-0.02
6tff.cif,52,18.928,0.178,0.147
6u8d.cif,68,21.907,0.285,0.286
6ufh.cif,77,22.841,0.27,0.099
6ufj.cif,100,26.962,0.008,-0.0
6ugg.cif,154,25.603,0.134,0.062
6uq3.cif,10,11.794,0.033,-0.008
6v9b.cif,55,17.994,0.081,0.019
6vmi.cif,944,55.152,0.074,0.027
6w2t.cif,1697,71.846,0.148,0.037
6w6p.cif,1523,68.185,0.04,-0.016
6woo.cif,3271,73.446,0.008,-0.001
6xur.cif,11,11.863,0.106,0.068
6xzd.cif,20,14.928,0.202,0.083
6yl5.cif,218,36.013,0.157,-0.124
6ywe.cif,2837,71.43,0.003,0.0
6z6m.cif,3772,78.818,0.057,0.012
6z8k.cif,20,20.737,0.069,0.0
6zj3.cif,2023,75.429,0.046,-0.019
6zmo.cif,3773,78.923,0.057,0.011
6zym.cif,27,24.027,0.092,-0.054
7c79.cif,331,43.231,0.048,0.016
7d7v.cif,58,20.906,0.144,0.01
7d81.cif,50,17.58,0.17,0.137
7jil.cif,2742,65.299,0.015,0.003
7jju.cif,104,26.376,0.208,-0.005
7msf.cif,25,21.075,0.047,-0.02
